Space Group Symmetry P 1            
     1
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
Space Group Symmetry P 1b           
     2
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
     -1.00       .00       .00
       .00     -1.00       .00
       .00       .00     -1.00
       .00       .00       .00
Space Group Symmetry P 2            
     2
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
     -1.00       .00       .00
       .00      1.00       .00
       .00       .00     -1.00
       .00       .00       .00
Space Group Symmetry P 2_1          
     2
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
     -1.00       .00       .00
       .00      1.00       .00
       .00       .00     -1.00
       .00       .50       .00
Space Group Symmetry C 2            
     4
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
     -1.00       .00       .00
       .00      1.00       .00
       .00       .00     -1.00
       .00       .00       .00
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .50       .50       .00
     -1.00       .00       .00
       .00      1.00       .00
       .00       .00     -1.00
       .50       .50       .00
Space Group Symmetry P m            
     2
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
      1.00       .00       .00
       .00     -1.00       .00
       .00       .00      1.00
       .00       .00       .00
Space Group Symmetry P c            
     2
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
      1.00       .00       .00
       .00     -1.00       .00
       .00       .00      1.00
       .00       .00       .50
Space Group Symmetry C m            
     4
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
      1.00       .00       .00
       .00     -1.00       .00
       .00       .00      1.00
       .00       .00       .00
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .50       .50       .00
      1.00       .00       .00
       .00     -1.00       .00
       .00       .00      1.00
       .50       .50       .00
Space Group Symmetry C c            
     4
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
      1.00       .00       .00
       .00     -1.00       .00
       .00       .00      1.00
       .00       .00       .50
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .50       .50       .00
      1.00       .00       .00
       .00     -1.00       .00
       .00       .00      1.00
       .50       .50       .50
Space Group Symmetry P 2/m          
     4
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
     -1.00       .00       .00
       .00      1.00       .00
       .00       .00     -1.00
       .00       .00       .00
     -1.00       .00       .00
       .00     -1.00       .00
       .00       .00     -1.00
       .00       .00       .00
      1.00       .00       .00
       .00     -1.00       .00
       .00       .00      1.00
       .00       .00       .00
Space Group Symmetry P 2_1/m        
     4
      1.00       .00       .00
       .00      1.00       .00
       .00       .00      1.00
       .00       .00       .00
     -1.00       .00       .00
       .00      1.00       .00
       .00       .00     -1.00
       .00       .50       .00
     -1.00       .00       .00
       .00     -1.00       .00
       .00       .00     -1.00
       .00       .00       .00
      1.00       .00       .00
       .00     -1.00       .00
       .00       .00      1.00
       .00       .50       .00
